2019-03-17 00:28:04,768 - sLogger - INFO - {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:32:15,935 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:36:49,697 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:37:07,006 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:37:08,109 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:37:09,138 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:39:33,624 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:39:35,733 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:41:46,568 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:42:08,841 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
2019-03-17 00:42:11,822 - sLogger - INFO - Response = {'tasks': [{'id': 1, 'title': 'Shopping groceries', 'description': 'Milk, Cheese, Pizza, Fruit, Oil', 'done': False}, {'id': 2, 'title': 'Learn Python Flask', 'description': 'Need to slow down and start from the basic without rush', 'done': False}]}
