VAR,col
ATCHMNT_IND_#,0
ATCHMNT_IND_6,1
ATCHMNT_IND_B,2
ATCHMNT_IND_C,3
ATCHMNT_IND_G,4
ATCHMNT_IND_GY,5
ATCHMNT_IND_Y,6
ATCHMNT_IND_YY,7
BILLG_TXNMY_CD_101YM0800X,8
BILLG_TXNMY_CD_103K00000X,9
BILLG_TXNMY_CD_111N00000X,10
BILLG_TXNMY_CD_193200000X,11
BILLG_TXNMY_CD_193400000X,12
BILLG_TXNMY_CD_207L00000X,13
BILLG_TXNMY_CD_207N00000X,14
BILLG_TXNMY_CD_207P00000X,15
BILLG_TXNMY_CD_207Q00000X,16
BILLG_TXNMY_CD_207R00000X,17
BILLG_TXNMY_CD_207RC0000X,18
BILLG_TXNMY_CD_207RG0100X,19
BILLG_TXNMY_CD_207RH0003X,20
BILLG_TXNMY_CD_207V00000X,21
BILLG_TXNMY_CD_207W00000X,22
BILLG_TXNMY_CD_207X00000X,23
BILLG_TXNMY_CD_207ZP0102X,24
BILLG_TXNMY_CD_208000000X,25
BILLG_TXNMY_CD_2084P0800X,26
BILLG_TXNMY_CD_2085R0202X,27
BILLG_TXNMY_CD_208D00000X,28
BILLG_TXNMY_CD_225100000X,29
BILLG_TXNMY_CD_251E00000X,30
BILLG_TXNMY_CD_251S00000X,31
BILLG_TXNMY_CD_261Q00000X,32
BILLG_TXNMY_CD_261QA0600X,33
BILLG_TXNMY_CD_261QA1903X,34
BILLG_TXNMY_CD_261QE0700X,35
BILLG_TXNMY_CD_261QM1300X,36
BILLG_TXNMY_CD_261QR1300X,37
BILLG_TXNMY_CD_261QU0200X,38
BILLG_TXNMY_CD_282N00000X,39
BILLG_TXNMY_CD_282NC0060X,40
BILLG_TXNMY_CD_282NC2000X,41
BILLG_TXNMY_CD_291U00000X,42
BILLG_TXNMY_CD_302R00000X,43
BILLG_TXNMY_CD_305S00000X,44
BILLG_TXNMY_CD_314000000X,45
BILLG_TXNMY_CD_324500000X,46
BILLG_TXNMY_CD_332B00000X,47
BILLG_TXNMY_CD_332BX2000X,48
BILLG_TXNMY_CD_333600000X,49
BILLG_TXNMY_CD_341600000X,50
BILLG_TXNMY_CD_3416L0300X,51
CLAIM_TYPE_INPT,52
CLAIM_TYPE_OUTPT,53
CLAIM_TYPE_PROF,54
CLAIM_TYPE_SN,55
CLM_FILE_COB_IND_16,56
CLM_FILE_COB_IND_BL,57
CLM_FILE_COB_IND_CI,58
CLM_FILE_COB_IND_HM,59
CLM_FILE_COB_IND_MA,60
CLM_FILE_COB_IND_MB,61
CLM_FILE_COB_IND_MC,62
CLM_FILE_COB_IND_ZZ,63
CLM_TYPE_CD_IA,64
CLM_TYPE_CD_IC,65
CLM_TYPE_CD_MA,66
CLM_TYPE_CD_OA,67
CLM_TYPE_CD_OC,68
CLM_TYPE_CD_PA,69
CLM_TYPE_CD_PM,70
CLM_TYPE_CD_SA,71
CLM_TYPE_CD_SC,72
ERR_CD_012,73
ERR_CD_019,74
ERR_CD_036,75
ERR_CD_038,76
ERR_CD_084,77
ERR_CD_088,78
ERR_CD_091,79
ERR_CD_092,80
ERR_CD_11,81
ERR_CD_13,82
ERR_CD_196,83
ERR_CD_19U,84
ERR_CD_204,85
ERR_CD_210,86
ERR_CD_228,87
ERR_CD_230,88
ERR_CD_263,89
ERR_CD_280,90
ERR_CD_286,91
ERR_CD_290,92
ERR_CD_293,93
ERR_CD_30B,94
ERR_CD_334,95
ERR_CD_350,96
ERR_CD_35G,97
ERR_CD_416,98
ERR_CD_451,99
ERR_CD_452,100
ERR_CD_49C,101
ERR_CD_4F,102
ERR_CD_4T,103
ERR_CD_503,104
ERR_CD_505,105
ERR_CD_507,106
ERR_CD_509,107
ERR_CD_515,108
ERR_CD_560,109
ERR_CD_569,110
ERR_CD_577,111
ERR_CD_590,112
ERR_CD_597,113
ERR_CD_5V,114
ERR_CD_5X,115
ERR_CD_610,116
ERR_CD_636,117
ERR_CD_637,118
ERR_CD_640,119
ERR_CD_643,120
ERR_CD_646,121
ERR_CD_647,122
ERR_CD_649,123
ERR_CD_675,124
ERR_CD_687,125
ERR_CD_688,126
ERR_CD_691,127
ERR_CD_6A,128
ERR_CD_6M,129
ERR_CD_6P,130
ERR_CD_6T,131
ERR_CD_7B,132
ERR_CD_7C,133
ERR_CD_7K,134
ERR_CD_811,135
ERR_CD_812,136
ERR_CD_823,137
ERR_CD_824,138
ERR_CD_825,139
ERR_CD_826,140
ERR_CD_831,141
ERR_CD_834,142
ERR_CD_84,143
ERR_CD_842,144
ERR_CD_843,145
ERR_CD_844,146
ERR_CD_847,147
ERR_CD_849,148
ERR_CD_882,149
ERR_CD_883,150
ERR_CD_896,151
ERR_CD_897,152
ERR_CD_907,153
ERR_CD_9E,154
ERR_CD_9H,155
ERR_CD_9J,156
ERR_CD_A72,157
ERR_CD_A7H,158
ERR_CD_AB8,159
ERR_CD_ACC,160
ERR_CD_ACF,161
ERR_CD_ADC,162
ERR_CD_AHN,163
ERR_CD_AIM,164
ERR_CD_ANE,165
ERR_CD_ANF,166
ERR_CD_ANL,167
ERR_CD_ANT,168
ERR_CD_APM,169
ERR_CD_ARC,170
ERR_CD_ATM,171
ERR_CD_AUR,172
ERR_CD_AUT,173
ERR_CD_BDT,174
ERR_CD_BNB,175
ERR_CD_BNI,176
ERR_CD_BNR,177
ERR_CD_C08,178
ERR_CD_C09,179
ERR_CD_C10,180
ERR_CD_C15,181
ERR_CD_C17,182
ERR_CD_C18,183
ERR_CD_C20,184
ERR_CD_C22,185
ERR_CD_C23,186
ERR_CD_C24,187
ERR_CD_C26,188
ERR_CD_C34,189
ERR_CD_C35,190
ERR_CD_C37,191
ERR_CD_C38,192
ERR_CD_C39,193
ERR_CD_C40,194
ERR_CD_C41,195
ERR_CD_C43,196
ERR_CD_C44,197
ERR_CD_C45,198
ERR_CD_C46,199
ERR_CD_C47,200
ERR_CD_C49,201
ERR_CD_C50,202
