VAR,col
ATCHMNT_IND_#,0
ATCHMNT_IND_5,1
ATCHMNT_IND_B,2
ATCHMNT_IND_BY,3
ATCHMNT_IND_C,4
ATCHMNT_IND_G,5
ATCHMNT_IND_GY,6
ATCHMNT_IND_Y,7
ATCHMNT_IND_YY,8
BILLG_TXNMY_CD_111N00000X,9
BILLG_TXNMY_CD_193200000X,10
BILLG_TXNMY_CD_193400000X,11
BILLG_TXNMY_CD_207L00000X,12
BILLG_TXNMY_CD_207P00000X,13
BILLG_TXNMY_CD_207Q00000X,14
BILLG_TXNMY_CD_207R00000X,15
BILLG_TXNMY_CD_207RC0000X,16
BILLG_TXNMY_CD_207V00000X,17
BILLG_TXNMY_CD_207W00000X,18
BILLG_TXNMY_CD_207X00000X,19
BILLG_TXNMY_CD_207ZP0102X,20
BILLG_TXNMY_CD_208000000X,21
BILLG_TXNMY_CD_2084P0800X,22
BILLG_TXNMY_CD_2085R0202X,23
BILLG_TXNMY_CD_208D00000X,24
BILLG_TXNMY_CD_225100000X,25
BILLG_TXNMY_CD_251E00000X,26
BILLG_TXNMY_CD_261Q00000X,27
BILLG_TXNMY_CD_261QA1903X,28
BILLG_TXNMY_CD_261QE0700X,29
BILLG_TXNMY_CD_261QM1300X,30
BILLG_TXNMY_CD_261QR1300X,31
BILLG_TXNMY_CD_261QX0203X,32
BILLG_TXNMY_CD_282N00000X,33
BILLG_TXNMY_CD_282NC0060X,34
BILLG_TXNMY_CD_282NC2000X,35
BILLG_TXNMY_CD_291U00000X,36
BILLG_TXNMY_CD_314000000X,37
BILLG_TXNMY_CD_324500000X,38
BILLG_TXNMY_CD_332B00000X,39
BILLG_TXNMY_CD_332BX2000X,40
BILLG_TXNMY_CD_333600000X,41
BILLG_TXNMY_CD_3336H0001X,42
BILLG_TXNMY_CD_341600000X,43
BILLG_TXNMY_CD_3416L0300X,44
CLAIM_TYPE_INPT,45
CLAIM_TYPE_OUTPT,46
CLAIM_TYPE_PROF,47
CLAIM_TYPE_SN,48
CLM_FILE_COB_IND_12,49
CLM_FILE_COB_IND_16,50
CLM_FILE_COB_IND_BL,51
CLM_FILE_COB_IND_CI,52
CLM_FILE_COB_IND_HM,53
CLM_FILE_COB_IND_MA,54
CLM_FILE_COB_IND_MB,55
CLM_FILE_COB_IND_MC,56
CLM_FILE_COB_IND_ZZ,57
CLM_TYPE_CD_IA,58
CLM_TYPE_CD_IC,59
CLM_TYPE_CD_MA,60
CLM_TYPE_CD_OA,61
CLM_TYPE_CD_OC,62
CLM_TYPE_CD_PA,63
CLM_TYPE_CD_PM,64
CLM_TYPE_CD_SA,65
CLM_TYPE_CD_SC,66
