FULL_MNGMNT_BU_CD,MBU_rollup,state_lob
KSZUSZ5XPR05N,Unicare - Unicare,Unicare
KSZUX1EXOF05M,Unicare - Unicare,Unicare
KSZUX1EXPB02M,Unicare - Unicare,Unicare
KSZUX1EXPB03S,Unicare - Unicare,Unicare
KSZUX1EXPB03Y,Unicare - Unicare,Unicare
KSZUX1EXPB05N,Unicare - Unicare,Unicare
KSZUX1EXPR05M,Unicare - Unicare,Unicare
KSZUZ1EXOF05M,Unicare - Unicare,Unicare
KSZUZ1EXPB02M,Unicare - Unicare,Unicare
KSZUZ1EXPB03S,Unicare - Unicare,Unicare
KSZUZ1EXPB03Y,Unicare - Unicare,Unicare
KSZUZ1EXPB05N,Unicare - Unicare,Unicare
KSZUZ1EXPR05M,Unicare - Unicare,Unicare
KSZZ111XOF04S,Unicare - Unicare,Unicare
KSZZ111XOF04Y,Unicare - Unicare,Unicare
KSZZ111XPB03N,Unicare - Unicare,Unicare
KSZZ111XPB05S,Unicare - Unicare,Unicare
KSZZ111XPB05Y,Unicare - Unicare,Unicare
KSZZ113XPB02M,Unicare - Unicare,Unicare
KSZZ113XPB03S,Unicare - Unicare,Unicare
KSZZ113XPB03Y,Unicare - Unicare,Unicare
KSZZ113XPB05N,Unicare - Unicare,Unicare
KSZZ113XPR04M,Unicare - Unicare,Unicare
KSZZ113XPR05S,Unicare - Unicare,Unicare
KSZZ113XPR05Y,Unicare - Unicare,Unicare
KSZZ114X,Unicare - Unicare,Unicare
KSZZ114XOF,Unicare - Unicare,Unicare
KSZZ114XOF02N,Unicare - Unicare,Unicare
KSZZ114XOF04N,Unicare - Unicare,Unicare
KSZZ114XOFN,Unicare - Unicare,Unicare
KSZZ114XOFY,Unicare - Unicare,Unicare
KSZZ114XPB02M,Unicare - Unicare,Unicare
KSZZ114XPB03M,Unicare - Unicare,Unicare
KSZZ114XPBN,Unicare - Unicare,Unicare
KSZZ114XPBY,Unicare - Unicare,Unicare
KSZZ114XPR03S,Unicare - Unicare,Unicare
