VAR,col
ATCHMNT_IND_#,0
ATCHMNT_IND_&,1
ATCHMNT_IND_5,2
ATCHMNT_IND_6,3
ATCHMNT_IND_B,4
ATCHMNT_IND_C,5
ATCHMNT_IND_G,6
ATCHMNT_IND_GY,7
ATCHMNT_IND_Y,8
ATCHMNT_IND_YY,9
BILLG_TXNMY_CD_111N00000X,10
BILLG_TXNMY_CD_193200000X,11
BILLG_TXNMY_CD_193400000X,12
BILLG_TXNMY_CD_204C00000X,13
BILLG_TXNMY_CD_207N00000X,14
BILLG_TXNMY_CD_207P00000X,15
BILLG_TXNMY_CD_207Q00000X,16
BILLG_TXNMY_CD_207R00000X,17
BILLG_TXNMY_CD_207RC0000X,18
BILLG_TXNMY_CD_207RG0100X,19
BILLG_TXNMY_CD_207V00000X,20
BILLG_TXNMY_CD_207W00000X,21
BILLG_TXNMY_CD_207X00000X,22
BILLG_TXNMY_CD_207ZP0102X,23
BILLG_TXNMY_CD_208000000X,24
BILLG_TXNMY_CD_2085R0202X,25
BILLG_TXNMY_CD_208D00000X,26
BILLG_TXNMY_CD_225100000X,27
BILLG_TXNMY_CD_251E00000X,28
BILLG_TXNMY_CD_261Q00000X,29
BILLG_TXNMY_CD_261QA1903X,30
BILLG_TXNMY_CD_261QE0700X,31
BILLG_TXNMY_CD_261QF0400X,32
BILLG_TXNMY_CD_261QM1300X,33
BILLG_TXNMY_CD_261QP2300X,34
BILLG_TXNMY_CD_261QU0200X,35
BILLG_TXNMY_CD_261QV0200X,36
BILLG_TXNMY_CD_282N00000X,37
BILLG_TXNMY_CD_282NC0060X,38
BILLG_TXNMY_CD_282NC2000X,39
BILLG_TXNMY_CD_282NR1301X,40
BILLG_TXNMY_CD_291U00000X,41
BILLG_TXNMY_CD_302R00000X,42
BILLG_TXNMY_CD_314000000X,43
BILLG_TXNMY_CD_324500000X,44
BILLG_TXNMY_CD_332B00000X,45
BILLG_TXNMY_CD_333600000X,46
BILLG_TXNMY_CD_341600000X,47
BILLG_TXNMY_CD_3416L0300X,48
CLAIM_TYPE_INPT,49
CLAIM_TYPE_OUTPT,50
CLAIM_TYPE_PROF,51
CLAIM_TYPE_SN,52
CLM_FILE_COB_IND_16,53
CLM_FILE_COB_IND_BL,54
CLM_FILE_COB_IND_CI,55
CLM_FILE_COB_IND_HM,56
CLM_FILE_COB_IND_MA,57
CLM_FILE_COB_IND_MB,58
CLM_FILE_COB_IND_MC,59
CLM_FILE_COB_IND_ZZ,60
CLM_TYPE_CD_IA,61
CLM_TYPE_CD_IC,62
CLM_TYPE_CD_MA,63
CLM_TYPE_CD_OA,64
CLM_TYPE_CD_OC,65
CLM_TYPE_CD_PA,66
CLM_TYPE_CD_PM,67
CLM_TYPE_CD_SA,68
CLM_TYPE_CD_SC,69
ERR_CD_012,70
ERR_CD_019,71
ERR_CD_036,72
ERR_CD_038,73
ERR_CD_059,74
ERR_CD_084,75
ERR_CD_088,76
ERR_CD_091,77
ERR_CD_092,78
ERR_CD_11,79
ERR_CD_142,80
ERR_CD_196,81
ERR_CD_19U,82
ERR_CD_204,83
ERR_CD_210,84
ERR_CD_228,85
ERR_CD_230,86
ERR_CD_263,87
ERR_CD_280,88
ERR_CD_286,89
ERR_CD_290,90
ERR_CD_293,91
ERR_CD_309,92
ERR_CD_30B,93
ERR_CD_32,94
ERR_CD_334,95
ERR_CD_350,96
ERR_CD_35G,97
ERR_CD_382,98
ERR_CD_416,99
ERR_CD_449,100
ERR_CD_451,101
ERR_CD_452,102
ERR_CD_465,103
ERR_CD_466,104
ERR_CD_467,105
ERR_CD_49C,106
ERR_CD_503,107
ERR_CD_507,108
ERR_CD_509,109
ERR_CD_515,110
ERR_CD_516,111
ERR_CD_560,112
ERR_CD_569,113
ERR_CD_577,114
ERR_CD_590,115
ERR_CD_597,116
ERR_CD_59X,117
ERR_CD_5J,118
ERR_CD_5W,119
ERR_CD_5X,120
ERR_CD_636,121
ERR_CD_637,122
ERR_CD_640,123
ERR_CD_642,124
ERR_CD_643,125
ERR_CD_646,126
ERR_CD_647,127
ERR_CD_675,128
ERR_CD_687,129
ERR_CD_688,130
ERR_CD_691,131
ERR_CD_6A,132
ERR_CD_6I,133
ERR_CD_6M,134
ERR_CD_6P,135
ERR_CD_6T,136
ERR_CD_7C,137
ERR_CD_7K,138
ERR_CD_812,139
ERR_CD_821,140
ERR_CD_823,141
ERR_CD_824,142
ERR_CD_825,143
ERR_CD_826,144
ERR_CD_831,145
ERR_CD_84,146
ERR_CD_842,147
ERR_CD_843,148
ERR_CD_844,149
ERR_CD_847,150
ERR_CD_849,151
ERR_CD_882,152
ERR_CD_896,153
ERR_CD_897,154
ERR_CD_8D,155
ERR_CD_907,156
ERR_CD_9E,157
ERR_CD_9H,158
ERR_CD_9J,159
ERR_CD_A72,160
ERR_CD_AB8,161
ERR_CD_ACC,162
ERR_CD_ADC,163
ERR_CD_AHN,164
ERR_CD_AIM,165
ERR_CD_ANE,166
ERR_CD_ANF,167
ERR_CD_ANT,168
ERR_CD_ANZ,169
ERR_CD_APM,170
ERR_CD_ARC,171
ERR_CD_ATM,172
ERR_CD_BDT,173
ERR_CD_BNB,174
ERR_CD_BNI,175
ERR_CD_BNR,176
ERR_CD_C15,177
ERR_CD_C17,178
ERR_CD_C18,179
ERR_CD_C20,180
ERR_CD_C22,181
ERR_CD_C23,182
ERR_CD_C24,183
ERR_CD_C26,184
ERR_CD_C34,185
ERR_CD_C35,186
ERR_CD_C37,187
ERR_CD_C38,188
ERR_CD_C39,189
ERR_CD_C40,190
ERR_CD_C41,191
ERR_CD_C43,192
ERR_CD_C44,193
ERR_CD_C45,194
ERR_CD_C46,195
ERR_CD_C47,196
ERR_CD_C49,197
ERR_CD_C50,198
ERR_CD_C54,199
ERR_CD_C68,200
ERR_CD_CAP,201
ERR_CD_CBC,202
ERR_CD_CLM,203
ERR_CD_CN,204
ERR_CD_COE,205
ERR_CD_CPH,206
ERR_CD_CPP,207
ERR_CD_CQ,208
ERR_CD_CT,209
ERR_CD_CXD,210
ERR_CD_CXE,211
ERR_CD_CXG,212
ERR_CD_CXL,213
ERR_CD_CXP,214
ERR_CD_CXT,215
ERR_CD_CXW,216
ERR_CD_D1,217
ERR_CD_D5,218
ERR_CD_DAT,219
ERR_CD_DC,220
ERR_CD_DF,221
ERR_CD_DI,222
ERR_CD_DIS,223
ERR_CD_DND,224
ERR_CD_DO,225
ERR_CD_DP,226
ERR_CD_DP1,227
ERR_CD_DP2,228
ERR_CD_DPT,229
ERR_CD_DRK,230
ERR_CD_DRN,231
ERR_CD_DT,232
ERR_CD_E4,233
ERR_CD_E8,234
ERR_CD_E9,235
ERR_CD_ECM,236
ERR_CD_ED1,237
ERR_CD_EI,238
ERR_CD_EMO,239
ERR_CD_EN1,240
ERR_CD_EN2,241
ERR_CD_EN3,242
ERR_CD_EN4,243
ERR_CD_EP1,244
ERR_CD_ER1,245
ERR_CD_ERM,246
ERR_CD_ERS,247
ERR_CD_ESB,248
ERR_CD_ESF,249
ERR_CD_ESM,250
ERR_CD_ESR,251
ERR_CD_EST,252
ERR_CD_ET,253
ERR_CD_FMP,254
ERR_CD_FP,255
ERR_CD_FT1,256
ERR_CD_G17,257
ERR_CD_G24,258
ERR_CD_G31,259
ERR_CD_GHT,260
ERR_CD_GP0,261
ERR_CD_GP1,262
ERR_CD_GPM,263
ERR_CD_GRP,264
ERR_CD_GU1,265
ERR_CD_GW1,266
ERR_CD_HBP,267
ERR_CD_HCB,268
ERR_CD_HCC,269
ERR_CD_HCD,270
ERR_CD_HCE,271
ERR_CD_HCF,272
ERR_CD_HCG,273
ERR_CD_HCH,274
ERR_CD_HCJ,275
ERR_CD_HCK,276
ERR_CD_HCL,277
ERR_CD_HCM,278
ERR_CD_HCN,279
ERR_CD_HCO,280
ERR_CD_HCP,281
ERR_CD_HDC,282
ERR_CD_HIB,283
ERR_CD_HIT,284
ERR_CD_HP,285
ERR_CD_HP1,286
ERR_CD_HPC,287
ERR_CD_HPD,288
ERR_CD_HPF,289
ERR_CD_HRE,290
ERR_CD_HS1,291
ERR_CD_HST,292
ERR_CD_I5,293
ERR_CD_IA1,294
ERR_CD_IAF,295
ERR_CD_IBL,296
ERR_CD_IDR,297
ERR_CD_IEP,298
ERR_CD_IHT,299
ERR_CD_INT,300
ERR_CD_IPP,301
ERR_CD_ISD,302
ERR_CD_J08,303
ERR_CD_J34,304
ERR_CD_J38,305
ERR_CD_J39,306
ERR_CD_JM,307
ERR_CD_LCK,308
ERR_CD_LNM,309
ERR_CD_LNO,310
ERR_CD_LTC,311
ERR_CD_LUM,312
ERR_CD_MAN,313
ERR_CD_MCO,314
ERR_CD_MHC,315
ERR_CD_MIM,316
ERR_CD_MJ,317
ERR_CD_ML,318
ERR_CD_MMC,319
ERR_CD_MMM,320
ERR_CD_MMS,321
ERR_CD_MN,322
ERR_CD_MNP,323
ERR_CD_MO,324
ERR_CD_MOD,325
ERR_CD_MR,326
ERR_CD_MT,327
ERR_CD_MTF,328
ERR_CD_MTI,329
ERR_CD_MU,330
ERR_CD_N39,331
ERR_CD_NAT,332
ERR_CD_NBP,333
ERR_CD_NCN,334
ERR_CD_NIP,335
ERR_CD_NM,336
ERR_CD_NPP,337
ERR_CD_NPR,338
ERR_CD_NRJ,339
ERR_CD_NX1,340
ERR_CD_NX7,341
ERR_CD_OC1,342
ERR_CD_OC2,343
ERR_CD_OCP,344
ERR_CD_ONF,345
ERR_CD_ONS,346
ERR_CD_ORP,347
ERR_CD_P30,348
ERR_CD_PA,349
ERR_CD_PAJ,350
ERR_CD_PAM,351
ERR_CD_PCD,352
ERR_CD_PCN,353
ERR_CD_PDB,354
ERR_CD_PDS,355
ERR_CD_PE6,356
ERR_CD_PHL,357
ERR_CD_PL,358
ERR_CD_PLM,359
ERR_CD_PMB,360
ERR_CD_PMM,361
ERR_CD_PR,362
ERR_CD_PTF,363
ERR_CD_PVE,364
ERR_CD_PWK,365
ERR_CD_PWL,366
ERR_CD_PYP,367
ERR_CD_Q0,368
ERR_CD_Q1,369
ERR_CD_Q5,370
ERR_CD_Q7,371
ERR_CD_Q8,372
ERR_CD_QC0,373
ERR_CD_QC5,374
ERR_CD_QCM,375
ERR_CD_QT0,376
ERR_CD_QT1,377
ERR_CD_QT5,378
ERR_CD_QT7,379
ERR_CD_QT8,380
ERR_CD_QTM,381
ERR_CD_QX,382
ERR_CD_QY,383
ERR_CD_QZ,384
ERR_CD_RB1,385
ERR_CD_RB2,386
ERR_CD_REL,387
ERR_CD_RFB,388
ERR_CD_RLC,389
ERR_CD_RM,390
ERR_CD_RNB,391
ERR_CD_RNI,392
ERR_CD_RNO,393
ERR_CD_RVW,394
ERR_CD_RZ,395
ERR_CD_S7,396
ERR_CD_SAT,397
ERR_CD_SBS,398
ERR_CD_SCD,399
ERR_CD_SEQ,400
ERR_CD_SG,401
ERR_CD_SH,402
ERR_CD_SI,403
ERR_CD_SPL,404
ERR_CD_SPS,405
ERR_CD_SUT,406
ERR_CD_T01,407
ERR_CD_TBI,408
ERR_CD_TBN,409
ERR_CD_TFR,410
ERR_CD_TID,411
ERR_CD_TOC,412
ERR_CD_TR1,413
ERR_CD_TR2,414
ERR_CD_TR3,415
ERR_CD_TR4,416
ERR_CD_TR5,417
ERR_CD_TR6,418
ERR_CD_UM0,419
ERR_CD_UM1,420
ERR_CD_UM2,421
ERR_CD_UM5,422
ERR_CD_UM6,423
ERR_CD_UMG,424
ERR_CD_UZ,425
ERR_CD_VCB,426
ERR_CD_WGP,427
ERR_CD_WY,428
ERR_CD_X4,429
ERR_CD_X8,430
ERR_CD_XD,431
ERR_CD_XE,432
ERR_CD_XPR,433
ERR_CD_XZ,434
ERR_CD_Y2,435
ERR_CD_YK,436
ERR_CD_YO,437
ERR_CD_Z4,438
ERR_CD_ZLC,439
ERR_CD_ZU,440
ERR_CD_ZV,441
ERR_CD_ZZ,442
FULL_MNGMNT_BU_CD_60U1113X,443
FULL_MNGMNT_BU_CD_60U1A13X,444
FULL_MNGMNT_BU_CD_60U2113X,445
FULL_MNGMNT_BU_CD_60U2117X,446
FULL_MNGMNT_BU_CD_60U2A13X,447
FULL_MNGMNT_BU_CD_63100000,448
FULL_MNGMNT_BU_CD_63300000,449
FULL_MNGMNT_BU_CD_63500000,450
FULL_MNGMNT_BU_CD_63700000,451
FULL_MNGMNT_BU_CD_63800000,452
FULL_MNGMNT_BU_CD_63B00000,453
FULL_MNGMNT_BU_CD_63E00000,454
FULL_MNGMNT_BU_CD_63G00000,455
FULL_MNGMNT_BU_CD_63J00000,456
FULL_MNGMNT_BU_CD_63L00000,457
FULL_MNGMNT_BU_CD_63O00000,458
FULL_MNGMNT_BU_CD_63Q00000,459
FULL_MNGMNT_BU_CD_63R00000,460
FULL_MNGMNT_BU_CD_63U00000,461
FULL_MNGMNT_BU_CD_63W00000,462
FULL_MNGMNT_BU_CD_63Y00000,463
FULL_MNGMNT_BU_CD_65100000,464
FULL_MNGMNT_BU_CD_6511112X,465
FULL_MNGMNT_BU_CD_6511113X,466
FULL_MNGMNT_BU_CD_6512113X,467
FULL_MNGMNT_BU_CD_6513113X,468
FULL_MNGMNT_BU_CD_65500000,469
FULL_MNGMNT_BU_CD_65800000,470
FULL_MNGMNT_BU_CD_66100000,471
FULL_MNGMNT_BU_CD_66300000,472
FULL_MNGMNT_BU_CD_66500000,473
FULL_MNGMNT_BU_CD_66600000,474
FULL_MNGMNT_BU_CD_66700000,475
FULL_MNGMNT_BU_CD_66800000,476
FULL_MNGMNT_BU_CD_67600000,477
FULL_MNGMNT_BU_CD_67700000,478
FULL_MNGMNT_BU_CD_ABW00000,479
FULL_MNGMNT_BU_CD_BIZM117X,480
FULL_MNGMNT_BU_CD_BSZM113X,481
FULL_MNGMNT_BU_CD_CCN00000,482
FULL_MNGMNT_BU_CD_CMJ00000,483
FULL_MNGMNT_BU_CD_CPB00000,484
FULL_MNGMNT_BU_CD_CSP00000,485
FULL_MNGMNT_BU_CD_GBR00000,486
FULL_MNGMNT_BU_CD_GHG00000,487
FULL_MNGMNT_BU_CD_GIG5112X,488
FULL_MNGMNT_BU_CD_GJG00000,489
FULL_MNGMNT_BU_CD_GKG00000,490
FULL_MNGMNT_BU_CD_GLG00000,491
FULL_MNGMNT_BU_CD_GRG00000,492
FULL_MNGMNT_BU_CD_GSG5114X,493
FULL_MNGMNT_BU_CD_GSG511SX,494
FULL_MNGMNT_BU_CD_GST00000,495
FULL_MNGMNT_BU_CD_HINW112X,496
FULL_MNGMNT_BU_CD_HSGW112X,497
FULL_MNGMNT_BU_CD_ICTH113X,498
FULL_MNGMNT_BU_CD_INCD112X,499
FULL_MNGMNT_BU_CD_INEF117X,500
FULL_MNGMNT_BU_CD_JCZ00000,501
FULL_MNGMNT_BU_CD_KNYY112X,502
FULL_MNGMNT_BU_CD_MEX00000,503
FULL_MNGMNT_BU_CD_MJE00000,504
FULL_MNGMNT_BU_CD_NAC00000,505
FULL_MNGMNT_BU_CD_NAH00000,506
FULL_MNGMNT_BU_CD_NAI00000,507
FULL_MNGMNT_BU_CD_NAM00000,508
FULL_MNGMNT_BU_CD_NAO00000,509
FULL_MNGMNT_BU_CD_NAT00000,510
FULL_MNGMNT_BU_CD_NAV00000,511
FULL_MNGMNT_BU_CD_NAW00000,512
FULL_MNGMNT_BU_CD_NMJ00000,513
FULL_MNGMNT_BU_CD_NNC00000,514
FULL_MNGMNT_BU_CD_NRC00000,515
FULL_MNGMNT_BU_CD_NRI00000,516
FULL_MNGMNT_BU_CD_NRK00000,517
FULL_MNGMNT_BU_CD_NRM00000,518
FULL_MNGMNT_BU_CD_NRN00000,519
FULL_MNGMNT_BU_CD_NRO00000,520
FULL_MNGMNT_BU_CD_NRW00000,521
FULL_MNGMNT_BU_CD_NSI00000,522
FULL_MNGMNT_BU_CD_NSY00000,523
FULL_MNGMNT_BU_CD_PBE00000,524
FULL_MNGMNT_BU_CD_PBI00000,525
FULL_MNGMNT_BU_CD_PBO00000,526
FULL_MNGMNT_BU_CD_SCS00000,527
FULL_MNGMNT_BU_CD_SGC00000,528
FULL_MNGMNT_BU_CD_SGCD113X,529
FULL_MNGMNT_BU_CD_SGEF117X,530
FULL_MNGMNT_BU_CD_SGKY113X,531
