VAR,col
ASO_FI_ASO,0
ASO_FI_FULLY_INSURD,1
ATCHMNT_IND_#,2
ATCHMNT_IND_6,3
ATCHMNT_IND_B,4
ATCHMNT_IND_C,5
ATCHMNT_IND_G,6
ATCHMNT_IND_GY,7
ATCHMNT_IND_Y,8
ATCHMNT_IND_YY,9
BILLG_TXNMY_CD_101YM0800X,10
BILLG_TXNMY_CD_101YP2500X,11
BILLG_TXNMY_CD_103K00000X,12
BILLG_TXNMY_CD_103TC0700X,13
BILLG_TXNMY_CD_104100000X,14
BILLG_TXNMY_CD_1041C0700X,15
BILLG_TXNMY_CD_106H00000X,16
BILLG_TXNMY_CD_111N00000X,17
BILLG_TXNMY_CD_152W00000X,18
BILLG_TXNMY_CD_193200000X,19
BILLG_TXNMY_CD_193400000X,20
BILLG_TXNMY_CD_207L00000X,21
BILLG_TXNMY_CD_207N00000X,22
BILLG_TXNMY_CD_207P00000X,23
BILLG_TXNMY_CD_207Q00000X,24
BILLG_TXNMY_CD_207R00000X,25
BILLG_TXNMY_CD_207RC0000X,26
BILLG_TXNMY_CD_207RG0100X,27
BILLG_TXNMY_CD_207RH0003X,28
BILLG_TXNMY_CD_207V00000X,29
BILLG_TXNMY_CD_207W00000X,30
BILLG_TXNMY_CD_207X00000X,31
BILLG_TXNMY_CD_207Y00000X,32
BILLG_TXNMY_CD_207ZP0102X,33
BILLG_TXNMY_CD_208000000X,34
BILLG_TXNMY_CD_2084P0800X,35
BILLG_TXNMY_CD_2085R0202X,36
BILLG_TXNMY_CD_208600000X,37
BILLG_TXNMY_CD_208D00000X,38
BILLG_TXNMY_CD_213E00000X,39
BILLG_TXNMY_CD_225100000X,40
BILLG_TXNMY_CD_235Z00000X,41
BILLG_TXNMY_CD_251E00000X,42
BILLG_TXNMY_CD_251F00000X,43
BILLG_TXNMY_CD_251S00000X,44
BILLG_TXNMY_CD_261Q00000X,45
BILLG_TXNMY_CD_261QA0600X,46
BILLG_TXNMY_CD_261QA1903X,47
BILLG_TXNMY_CD_261QE0700X,48
BILLG_TXNMY_CD_261QF0400X,49
BILLG_TXNMY_CD_261QM1300X,50
BILLG_TXNMY_CD_261QP2000X,51
BILLG_TXNMY_CD_261QR1300X,52
BILLG_TXNMY_CD_261QU0200X,53
BILLG_TXNMY_CD_261QV0200X,54
BILLG_TXNMY_CD_282N00000X,55
BILLG_TXNMY_CD_282NC0060X,56
BILLG_TXNMY_CD_282NC2000X,57
BILLG_TXNMY_CD_283Q00000X,58
BILLG_TXNMY_CD_291U00000X,59
BILLG_TXNMY_CD_314000000X,60
BILLG_TXNMY_CD_324500000X,61
BILLG_TXNMY_CD_332B00000X,62
BILLG_TXNMY_CD_332BX2000X,63
BILLG_TXNMY_CD_333600000X,64
BILLG_TXNMY_CD_341600000X,65
