KEY_CHK_DCN_NBR,CURNT_QUE_UNIT_NBR,actioncode,actionscore
19094CO0225,2V,12390,0.0002066844
19095H31875,2V,21640,0.4687501
19095H31876,2V,21640,0.49093637
19095H37925,2V,21640,0.34396613
19098DC1188,2V,9COB0,0.0005624713
19103BJ3677,2V,M9999,0.0042507043
19105R10922,2V,12390,0.0027688092
19113CK6390,2V,M9999,0.0010574729
19115BI2947,2V,51530,0.0005415435
19121H35950,2V,21640,0.25288206
19130H10114,2V,LABX0,0.4936551
19130H10115,2V,LABX0,0.4936551
19130H10116,2V,LABX0,0.4936551
19130H10467,2V,LABX0,0.4936551
19130H10481,2V,LABX0,0.4830646
19130H10501,2V,LABX0,0.48611662
19130H10643,2V,LABX0,0.4936551
19130H10696,2V,LABX0,0.50636506
19133H17855,2V,LABX0,0.39781
19133H18225,2V,21640,0.2195567
19133H18243,2V,21640,0.21983036
19137BJ0535,2V,51530,0.0007674449
19142BO8393,2V,21640,0.2602877
19144BH7774,2V,12390,0.00013833163
19148CO6087,2V,M9999,0.0003876853
19150BQ2476,2V,9COB0,0.00014508453
19150BV8689,2V,M9999,0.00025157936
19150CB5340,2V,9COB0,0.0006413403
19151BL9968,2V,12390,0.00010719347
19151BT4233,2V,12390,0.00018120701
19151BY0606,2V,MCJ00,0.00016840464
19151CB5207,2V,12390,0.00023307094
19154BI1136,2V,12390,0.00010621656
19154BW5749,2V,12390,0.00012932686
19154BY7789,2V,M9999,0.0007295113
19154CA6520,2V,12390,0.000102025915
19155BV4224,2V,9COB0,0.0007964935
19155BZ3643,2V,9COB0,0.000812532
19155CN2389,2V,51530,0.0008149166
19156BC7330,2V,9COB0,0.0004110648
19156BW2157,2V,12390,0.00016843082
19156BW3619,2V,12390,0.0003272896
19156BW3759,2V,51530,0.0010475108
19156CD2907,2V,51530,0.007613183
19156CD3860,2V,21640,0.18271796
19157BG2083,2V,12390,0.00027989724
19157BI6779,2V,12390,0.00010719347
19157BQ3687,2V,12390,0.00011869377
19157BY3093,2V,21640,0.18451725
19157BY3958,2V,9COB0,0.00036719342
19157CF3215,2V,M9999,0.00039032564
19158BN5892,2V,12390,0.00010719347
19158BY4293,2V,12390,0.00037763937
19158BY4701,2V,M9999,0.0004670517
19158BZ9539,2V,M9999,0.000326749
19158CA9202,2V,9COB0,0.00043665018
19158CE2656,2V,9COB0,0.00020748883
19159BH4220,2V,12390,0.00012709513
19160BA9975,2V,01030,0.0003606906
19161CG8877,2V,51530,0.0008711112
19162BE8860,2V,12390,0.00010278211
19162BM6673,2V,51530,0.00042175697
19162BX1812,2V,12390,0.00043958114
19071CC0805,2V,21640,0.081611596
19077R11058,2V,9COB0,0.0030277055
19081CL9732,V3,M9999,0.004959004
19085DC6163,2V,50110,0.0016994268
19093CU7864,2V,12390,0.023759525
19096GB3855,2V,LABX0,0.0031536182
19112BD4764,2V,12390,0.00290834
19113R11499,2V,M9999,0.0077312794
19116R11093,2V,51530,0.008503171
19155CB8645,2V,12390,0.00026506244
19155CE2152,2V,9COB0,0.0015176386
19067CK4896,2V,51530,0.00048078047
19101DC5446,2V,12390,0.0008148592
19105BD2173,2V,51530,0.004956861
19107CO2303,2V,12390,0.00014036242
19109CK9534,2V,12390,0.00024004387
19105CJ3753,2V,12390,0.00027323383
19117BF8416,2V,51530,0.03060005
19147BH3492,2V,51530,0.00039827498
19004CE3108,2V,51530,0.000426974
19016CP4023,2V,51530,0.0015659216
19035BL9459,2V,LABX0,0.00014466402
19053GA9400,2V,12390,0.0003178392
19077CD2880,2V,51530,0.009644563
19078CV4879,2V,12390,0.00028189723
19079BT5876,2V,51530,0.06913898
19087CY9150,2V,MCJ00,0.00030603382
19091CW9623,2V,9COB0,0.00046382315
19108CK3030,2V,51530,0.0005477387
19112DA0785,2V,9COB0,0.00044995087
19113BM4268,2V,9COB0,0.00050471275
19121BQ7373,2V,51530,0.00034877946
19128CF7781,2V,51530,0.0002496611
19132BB6823,2V,51530,0.0027319982
19132BB8250,2V,51530,0.0015014925
19133BX3558,2V,12390,0.00024475218
19135CA5478,2V,51530,0.0007603825
19136CC7301,2V,LABX0,0.00016691677
19141BE8609,2V,LABX0,0.0001761205
19142CC1747,2V,51530,0.0034817774
19143CC0205,2V,51530,0.00032103443
19022BN4624,2V,9COB0,0.0005788071
19035BV4766,2V,21640,0.08469233
