KEY_CHK_DCN_NBR,CURNT_QUE_UNIT_NBR,DTL_LINE_NBR,Result,Model_Score
19087CL2024,1#,01,0262163594,0.45169175
19087CL2024,1#,02,0262163594,0.45169175
19098BP0407,ST,01,3978741,0.5377504
19099BC8866,ST,01,3316197,0.072516315
19102LM2019,1#,01,0258800291,0.048213083
19102LM2020,1#,01,0258800291,0.09385199
19105CU2534,1#,01,0263660301,0.6547815
19105CU2534,1#,02,0263660301,0.6547815
19105LM0495,1#,01,0262421456,0.53698474
19106BD5969,ST,01,0259695328,0.38406804
19106BD5969,ST,02,0259695328,0.09881247
19107LM1871,ST,01,3681206,0.6337777
19107LM1967,ST,01,3681206,0.6210002
19107LM1967,ST,02,3681206,0.6358428
19108CT5168,1#,01,0260389579,0.60750663
19108CT5168,1#,02,0260389579,0.57302594
19109CR3497,ST,01,0263910804,0.059740283
19109CR3497,ST,02,0263678322,0.026632262
19109CR3497,ST,03,0263794689,0.02622553
19109CR3497,ST,04,0263794689,0.02622553
19109CR3497,ST,05,0263794689,0.02622553
19109CR3497,ST,06,0263794689,0.02622553
19109CR3497,ST,07,0263794689,0.02622553
19109CR3497,ST,08,0263794689,0.02622553
19109CR3497,ST,09,0263794689,0.030977812
19109CR3497,ST,10,0263794689,0.030977812
19109CR3497,ST,11,0263794689,0.06135254
19109CR3497,ST,12,0263794689,0.06135254
19109CR3497,ST,13,0263794689,0.06135254
19109CR3497,ST,14,0263794689,0.06135254
19109CR3497,ST,15,0263794689,0.06135254
19112CT0522,1#,01,0260389579,0.71783465
19112CT0522,1#,02,0260389579,0.811243
19112CU1517,ST,01,4256296,0.3071835
19112CU5716,1#,01,0263240200,0.13444412
191137A7676,ST,01,3889728,0.60795325
191137A7677,ST,01,3889728,0.39469975
191137A7679,ST,01,3889728,0.6355969
191137A7682,ST,01,3889728,0.5474036
191137A7684,ST,01,3889728,0.7069927
19113CI4718,ST,01,0262818120,0.42943034
19113CI4718,ST,02,0262818120,0.42943034
19113DR2028,ST,01,3613301,0.6194502
19113DR2028,ST,02,3613301,0.64388233
19113DR2028,ST,03,3613301,0.7733739
19113DR2028,ST,04,3613301,0.8494004
19113DR2028,ST,05,3613301,0.8578699
19113DR2028,ST,06,3613301,0.8726124
19113DR2028,ST,07,3613301,0.8726124
19114487084,ST,01,0259982252,0.0050323014
19114487084,ST,02,0256817186,0.07403917
19114BQ9493,ST,01,4491161,0.029760899
19114BQ9493,ST,02,4491161,0.029760899
19114BQ9493,ST,03,4491161,0.029760899
19114BQ9493,ST,04,4491161,0.029760899
19114BQ9493,ST,05,4491161,0.029760899
19114BQ9493,ST,06,4491161,0.029760899
19114BU3027,ST,01,139616817,0.1736496
19114CN0532,1#,01,0263819139,0.6937515
19114CN0537,1#,01,0263819139,0.6937515
19114CN0853,1#,01,0263818652,0.658205
19114CY3275,1#,01,3872887,0.0030522037
19114CY3275,1#,02,3872887,0.0030522037
19114CY3275,1#,03,3872887,0.0030522037
19114CY3275,1#,04,3615567,0.014865443
19114CY3397,ST,01,0263657602,0.21355407
19114CY3397,ST,02,0263657602,0.21355407
19114CY3397,ST,03,0262496354,0.084853
